Provincias,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
FORMOSA,Formosa,,--,--,,SI,SI,
FORMOSA,,,--,,,--,,
FORMOSA,Formosa,Mojón de Fierro,,--,--,,--,SI
,Formosa,San Hilario,,--,--,,--,SI
,Formosa,Villa del Carmen,--,--,SI,SI,--,
FORMOSA,Formosa,Villa Trinidad,,--,--,,--,
FORMOSA,,Banco Payaguá,--,,--,--,,--
FORMOSA,Laishi,,SI,,,SI,SI,SI
,Laishi,Herradura,,--,--,,SI,--
,Laishi,San Francisco de Laishi,--,--,--,SI,SI,
FORMOSA,,,--,,,SI,,--
FORMOSA,Laishi,,--,--,,--,--,--
,Quemú Quemú,Quemú Quemú,,SI,SI,,SI,SI
LA PAMPA,Quemú Quemú,Relmo,,--,--,,--,
LA PAMPA,Quemú Quemú,Villa Mirasol,,--,--,,SI,--
,Rancul,Caleufú,--,--,SI,SI,SI,SI
LA PAMPA,Rancul,,--,--,,--,,
LA PAMPA,,La Maruja,--,,--,--,,SI
,Rancul,Parera,--,--,SI,SI,SI,SI
,Rancul,Pichi Huinca,,--,SI,,SI,--
,Rancul,Quetrequén,,--,SI,,SI,
LA PAMPA,Rancul,Rancul,,--,SI,,SI,SI
LA PAMPA,,,--,,,--,,SI
LA PAMPA,Realicó,,--,--,,--,SI,SI
LA PAMPA,Realicó,,--,--,,--,SI,--
MENDOZA,,Bowen,--,,--,SI,,
,General Alvear,Carmensa,,--,--,,SI,--
,General Alvear,General Alvear,SI,SI,SI,SI,SI,--
MENDOZA,,Los Compartos,--,,--,SI,,
MENDOZA,,,--,,,SI,,
MENDOZA,Godoy Cruz,Godoy Cruz,,SI,SI,,SI,SI
,Godoy Cruz,LAS TORTUGAS,,--,SI,,--,--
MENDOZA,Godoy Cruz,,--,--,,--,--,
MENDOZA,,,--,,,SI,,
MENDOZA,,Villa Hipodromo,--,,SI,SI,,--
MENDOZA,,,--,--,,SI,--,--
,Grl. José de San Martín,Pacará,--,--,--,--,--,
MENDOZA,Malargüe,Malargüe,,--,SI,,SI,
MENDOZA,,,--,,,--,,--
MENDOZA,,Barrio Cooperativa Los Campamentos,--,,--,SI,,--
MENDOZA,,,--,,,--,,
MENDOZA,Rivadavia,,--,--,,--,--,
,Rivadavia,El Mirador,--,--,SI,--,--,--
MENDOZA,Rivadavia,La Central,,--,--,,--,--
